Shot,LLama Precision,Mistral Precision,LLama Recall,Mistral Recall,LLama F1-Score,Mistral F1-Score,LLama FPR,Mistral FPR,LLama FNR,Mistral FNR
0,0.5852534562211982,0.550561797752809,0.8466666666666667,0.98,0.6920980926430518,0.7050359712230215,0.4147465437788018,0.449438202247191,0.15333333333333332,0.02
2,0.5789473684210527,0.6910112359550562,0.88,0.82,0.6984126984126984,0.75,0.42105263157894735,0.3089887640449438,0.12,0.18
3,0.645,0.7058823529411765,0.86,0.8,0.7371428571428571,0.75,0.355,0.29411764705882354,0.14,0.2
4,0.654639175257732,0.7105263157894737,0.8466666666666667,0.72,0.7383720930232558,0.7152317880794702,0.34536082474226804,0.2894736842105263,0.15333333333333332,0.28
