model,accuracy,fail-ratio
Mistralv3_0shot,0.59,0.41
Mistralv3_2shot,0.7266666666666667,0.2733333333333333
Mistralv3_3shot,0.7333333333333333,0.2666666666666666
Mistralv3_4shot,0.7133333333333334,0.2866666666666667
